# Code,Name,Ticker
1332,ニッスイ,1332.T
1605,ＩＮＰＥＸ,1605.T
1721,コムシスホールディングス,1721.T
1801,大成建設,1801.T
1802,大林組,1802.T
1803,清水建設,1803.T
1808,長谷工コーポレーション,1808.T
1812,鹿島建設,1812.T
1925,大和ハウス工業,1925.T
1928,積水ハウス,1928.T
1963,日揮ホールディングス,1963.T
2002,日清製粉グループ本社,2002.T
2269,明治ホールディングス,2269.T
2282,日本ハム,2282.T
2413,エムスリー,2413.T
2432,ディー・エヌ・エー,2432.T
2501,サッポロホールディングス,2501.T
2502,アサヒグループホールディングス,2502.T
2503,キリンホールディングス,2503.T
2768,双日,2768.T
2801,キッコーマン,2801.T
2802,味の素,2802.T
2871,ニチレイ,2871.T
2914,日本たばこ産業,2914.T
3086,Ｊ．フロント　リテイリング,3086.T
3092,ＺＯＺＯ,3092.T
3099,三越伊勢丹ホールディングス,3099.T
3289,東急不動産ホールディングス,3289.T
3382,セブン＆アイ・ホールディングス,3382.T
3401,帝人,3401.T
3402,東レ,3402.T
3405,クラレ,3405.T
3407,旭化成,3407.T
3436,ＳＵＭＣＯ,3436.T
3659,ネクソン,3659.T
3697,ＳＨＩＦＴ,3697.T
3861,王子ホールディングス,3861.T
4004,レゾナック・ホールディングス,4004.T
4005,住友化学,4005.T
4021,日産化学,4021.T
4042,東ソー,4042.T
4043,トクヤマ,4043.T
4061,デンカ,4061.T
4062,イビデン,4062.T
4063,信越化学工業,4063.T
4151,協和キリン,4151.T
4183,三井化学,4183.T
4188,三菱ケミカルグループ,4188.T
4208,ＵＢＥ,4208.T
4307,野村総合研究所,4307.T
4324,電通グループ,4324.T
4385,メルカリ,4385.T
4452,花王,4452.T
4502,武田薬品工業,4502.T
4503,アステラス製薬,4503.T
4506,住友ファーマ,4506.T
4507,塩野義製薬,4507.T
4519,中外製薬,4519.T
4523,エーザイ,4523.T
4543,テルモ,4543.T
4568,第一三共,4568.T
4578,大塚ホールディングス,4578.T
4661,オリエンタルランド,4661.T
4689,ＬＩＮＥヤフー,4689.T
4704,トレンドマイクロ,4704.T
4751,サイバーエージェント,4751.T
4755,楽天グループ,4755.T
4901,富士フイルムホールディングス,4901.T
4902,コニカミノルタ,4902.T
4911,資生堂,4911.T
5019,出光興産,5019.T
5020,ＥＮＥＯＳホールディングス,5020.T
5101,横浜ゴム,5101.T
5108,ブリヂストン,5108.T
5201,ＡＧＣ,5201.T
5214,日本電気硝子,5214.T
5233,太平洋セメント,5233.T
5301,東海カーボン,5301.T
5332,ＴＯＴＯ,5332.T
5333,日本碍子,5333.T
5401,日本製鉄,5401.T
5406,神戸製鋼所,5406.T
5411,ＪＦＥホールディングス,5411.T
5631,日本製鋼所,5631.T
5706,三井金属,5706.T
5711,三菱マテリアル,5711.T
5713,住友金属鉱山,5713.T
5714,ＤＯＷＡホールディングス,5714.T
5801,古河電気工業,5801.T
5802,住友電気工業,5802.T
5803,フジクラ,5803.T
5831,しずおかフィナンシャルグループ,5831.T
